barrier_id,barrier_label,barrier_code,barrier_label_norm
1,"power losses, quality and safety issues",B1,"power losses, quality and safety issues"
2,reduced reliability in DC devices,B2,reduced reliability in dc devices
3,lack of use-cases in which DC is advantageous,B3,lack of use-cases in which dc is advantageous
4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",B4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)"
5,lack of pilot projects,B5,lack of pilot projects
6,public perception of DC and readiness to 'champion' installations from DC projects,B6,public perception of dc and readiness to 'champion' installations from dc projects
7,incompatibility of DC systems components,B7,incompatibility of dc systems components
8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,B8,misconception and lack of knowledge leads to lengthy/expensive design and permit process
9,lack of enough trained personnel in DC systems,B9,lack of enough trained personnel in dc systems
10,uncertain regulatory roadmap,B10,uncertain regulatory roadmap
11,high costs of DC solutions,B11,high costs of dc solutions
