base_model,dc_solution,OR,OR_l95,OR_u95
llama,DC-DC converter,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC connectors,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC measurement device,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,DC solution design tool,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,LVAC-LVDC interlink converter,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Network design tool for DC solutions,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Protection DC system design tool,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Semiconductor-based circuit breaker,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Smart and sustainable DC cables,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Solid-state circuit breaker,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
llama,Static protection system,3.861924480337257e-7,1.5676974865562908e-7,9.513608856125869e-7
