base_model,variant_id,model,1,2,3,4,5,6,7,8,9,10,11,total_count
gemma3,gemma3_generalist,generalist,0.2,0.0,0.01,0.16,0.04,0.1,0.05,0.145,0.005,0.09,0.2,200
gemma3,gemma3_generalist2,generalist2,0.2,0.0,0.015,0.175,0.04,0.09,0.045,0.165,0.005,0.085,0.18,200
gemma3,gemma3_normative,normative,0.2,0.0,0.0,0.195,0.02,0.06,0.1,0.195,0.025,0.075,0.13,200
gemma3,gemma3_normative2,normative2,0.2,0.0,0.0,0.195,0.0,0.015,0.13,0.2,0.04,0.05,0.17,200
gemma3,gemma3_subject_matter,subject_matter,0.2,0.0,0.0,0.195,0.03,0.005,0.105,0.165,0.06,0.095,0.145,200
gemma3,gemma3_subject_matter2,subject_matter2,0.2,0.0,0.0,0.17,0.06,0.025,0.165,0.13,0.055,0.06,0.135,200
llama,llama_generalist,generalist,0.175,0.14,0.175,0.155,0.09,0.055,0.055,0.015,0.01,0.06,0.07,200
llama,llama_generalist2,generalist2,0.19,0.15,0.185,0.145,0.075,0.035,0.03,0.015,0.015,0.1,0.06,200
llama,llama_normative,normative,0.14,0.115,0.16,0.165,0.055,0.08,0.09,0.055,0.015,0.075,0.05,200
llama,llama_normative2,normative2,0.175,0.125,0.18,0.165,0.075,0.08,0.055,0.02,0.01,0.07,0.045,200
llama,llama_subject_matter,subject_matter,0.185,0.095,0.195,0.185,0.09,0.08,0.045,0.035,0.005,0.04,0.045,200
llama,llama_subject_matter2,subject_matter2,0.19,0.105,0.185,0.14,0.035,0.05,0.08,0.03,0.005,0.105,0.075,200
mistral,mistral_generalist,generalist,0.2,0.195,0.11,0.2,0.175,0.055,0.005,0.0,0.01,0.025,0.025,200
mistral,mistral_generalist2,generalist2,0.2,0.18,0.065,0.195,0.185,0.095,0.0,0.0,0.015,0.02,0.045,200
mistral,mistral_normative,normative,0.2,0.17,0.06,0.19,0.18,0.06,0.025,0.015,0.015,0.045,0.04,200
mistral,mistral_normative2,normative2,0.2,0.165,0.065,0.185,0.175,0.085,0.02,0.01,0.01,0.055,0.03,200
mistral,mistral_subject_matter,subject_matter,0.2,0.195,0.08,0.19,0.17,0.02,0.01,0.0,0.025,0.065,0.045,200
mistral,mistral_subject_matter2,subject_matter2,0.2,0.155,0.045,0.175,0.19,0.035,0.02,0.02,0.03,0.085,0.045,200
phi4,phi4_generalist,generalist,0.2,0.085,0.045,0.2,0.04,0.105,0.005,0.1,0.025,0.18,0.015,200
phi4,phi4_generalist2,generalist2,0.2,0.085,0.035,0.2,0.035,0.09,0.005,0.12,0.02,0.185,0.025,200
phi4,phi4_normative,normative,0.2,0.065,0.025,0.2,0.035,0.135,0.0,0.12,0.0,0.2,0.02,200
phi4,phi4_normative2,normative2,0.2,0.045,0.005,0.2,0.05,0.16,0.0,0.11,0.015,0.2,0.015,200
phi4,phi4_subject_matter,subject_matter,0.2,0.095,0.04,0.2,0.03,0.09,0.005,0.13,0.005,0.19,0.015,200
phi4,phi4_subject_matter2,subject_matter2,0.2,0.105,0.025,0.2,0.04,0.09,0.01,0.11,0.03,0.18,0.01,200
