base_model,variant_id,bias_type,iteration,barrier_id,rows_for_barrier,row_id,model,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,timestamp,truncated,condition,anchor_level
llama,llama_generalist,BIAS_WORD,8,8,2,BIAS_WORD_llama_generalist_08_b1_20250906_191856,generalist,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Lack of knowledge and understanding of the benefits of Direct Current (DC) technology among stakeholders,hallucinated_label,correct_id,True,0.36,20250906_191856,no,UNNUMBERED,
llama,llama_generalist,BIAS_WORD,8,8,2,BIAS_WORD_llama_generalist_08_b5_20250906_191856,generalist,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Resistance from utilities and potential resistance from the public regarding the adoption of DC technology,hallucinated_label,correct_id,True,0.304,20250906_191856,no,UNNUMBERED,
llama,llama_generalist2,BIAS_EXAMPLE,2,2,2,BIAS_EXAMPLE_llama_generalist2_02_b4_20250906_230557,generalist2,reduced reliability in DC devices,Difficulty in integrating renewable energy sources (such as solar or wind) with DC systems,hallucinated_label,correct_id,True,0.331,20250906_230557,no,UNNUMBERED,
llama,llama_generalist2,BIAS_EXAMPLE,2,2,2,BIAS_EXAMPLE_llama_generalist2_02_b5_20250906_230557,generalist2,reduced reliability in DC devices,Challenges in maintaining and repairing high-voltage direct current (HVDC) transmission networks.,hallucinated_label,correct_id,True,0.324,20250906_230557,no,UNNUMBERED,
llama,llama_normative,BIAS_EXAMPLE,3,4,2,BIAS_EXAMPLE_llama_normative_03_b2_20250908_080914,normative,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Resistance from energy utilities to adopt new DC standards and practices,hallucinated_label,correct_id,True,0.419,20250908_080914,no,UNNUMBERED,
llama,llama_normative,BIAS_EXAMPLE,3,4,2,BIAS_EXAMPLE_llama_normative_03_b3_20250908_080914,normative,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Uncertainty in the regulatory environment surrounding DC adoption,hallucinated_label,correct_id,True,0.559,20250908_080914,no,UNNUMBERED,
llama,llama_subject_matter,BIAS_EXAMPLE,5,7,2,BIAS_EXAMPLE_llama_subject_matter_05_b1_20250908_090148,subject_matter,incompatibility of DC systems components,"Interoperability between different DC technologies, components, and systems",hallucinated_label,correct_id,True,0.504,20250908_090148,no,UNNUMBERED,
llama,llama_subject_matter,BIAS_EXAMPLE,5,7,2,BIAS_EXAMPLE_llama_subject_matter_05_b3_20250908_090148,subject_matter,incompatibility of DC systems components,Limited availability of DC-compatible hardware components and devices,hallucinated_label,correct_id,True,0.495,20250908_090148,no,UNNUMBERED,
llama,llama_subject_matter,BIAS_EXAMPLE,9,7,2,BIAS_EXAMPLE_llama_subject_matter_09_b1_20250908_195323,subject_matter,incompatibility of DC systems components,Lack of standardization and interoperability between different DC components and systems.,hallucinated_label,correct_id,True,0.419,20250908_195323,no,UNNUMBERED,
llama,llama_subject_matter,BIAS_EXAMPLE,9,7,2,BIAS_EXAMPLE_llama_subject_matter_09_b5_20250908_195323,subject_matter,incompatibility of DC systems components,Uncertainty surrounding the integration of DC systems with existing power grid infrastructure and electricity market arrangements.,hallucinated_label,correct_id,True,0.428,20250908_195323,no,UNNUMBERED,
llama,llama_subject_matter,BIAS_NUM_LOW,6,11,2,BIAS_NUM_LOW_llama_subject_matter_06_b2_20250909_095507,subject_matter,high costs of DC solutions,Limited availability of low voltage DC grid technology,hallucinated_label,correct_id,True,0.426,20250909_095507,no,UNNUMBERED,low
llama,llama_subject_matter,BIAS_NUM_LOW,6,11,2,BIAS_NUM_LOW_llama_subject_matter_06_b3_20250909_095507,subject_matter,high costs of DC solutions,High initial investment costs for implementing DC systems,hallucinated_label,correct_id,True,0.434,20250909_095507,no,UNNUMBERED,low
llama,llama_subject_matter2,BIAS_EXAMPLE,2,8,2,BIAS_EXAMPLE_llama_subject_matter2_02_b1_20250906_230557,subject_matter2,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Lack of awareness and understanding of DC technologies among stakeholders and end users,hallucinated_label,correct_id,True,0.455,20250906_230557,no,UNNUMBERED,
llama,llama_subject_matter2,BIAS_EXAMPLE,2,8,2,BIAS_EXAMPLE_llama_subject_matter2_02_b5_20250906_230557,subject_matter2,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Resistance from incumbent utilities or energy companies to adopt DC technologies due to perceived competition or lack of understanding,hallucinated_label,correct_id,True,0.338,20250906_230557,no,UNNUMBERED,
llama,llama_subject_matter2,BIAS_EXAMPLE,3,7,2,BIAS_EXAMPLE_llama_subject_matter2_03_b10_20250908_080914,subject_matter2,incompatibility of DC systems components,Potential technical issues related to compatibility with legacy infrastructure,hallucinated_label,correct_id,True,0.373,20250908_080914,yes,UNNUMBERED,
llama,llama_subject_matter2,BIAS_EXAMPLE,3,7,2,BIAS_EXAMPLE_llama_subject_matter2_03_b6_20250908_080914,subject_matter2,incompatibility of DC systems components,Incompatibility of DC systems components,matched,wrong_id_matchable,False,1.0,20250908_080914,yes,UNNUMBERED,
llama,llama_subject_matter2,BIAS_EXAMPLE,3,9,2,BIAS_EXAMPLE_llama_subject_matter2_03_b7_20250908_080914,subject_matter2,lack of enough trained personnel in DC systems,Lack of enough trained personnel in DC systems,matched,wrong_id_matchable,False,1.0,20250908_080914,yes,UNNUMBERED,
llama,llama_subject_matter2,BIAS_EXAMPLE,3,9,2,BIAS_EXAMPLE_llama_subject_matter2_03_b9_20250908_080914,subject_matter2,lack of enough trained personnel in DC systems,"Shortage of skilled technicians to design, install and maintain DC systems",hallucinated_label,correct_id,True,0.469,20250908_080914,yes,UNNUMBERED,
llama,llama_subject_matter2,BIAS_NUM_HIGH,9,4,2,BIAS_NUM_HIGH_llama_subject_matter2_09_b1_20250909_142603,subject_matter2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Lack of standardization for DC components and hardware,hallucinated_label,correct_id,True,0.465,20250909_142603,no,UNNUMBERED,high
llama,llama_subject_matter2,BIAS_NUM_HIGH,9,4,2,BIAS_NUM_HIGH_llama_subject_matter2_09_b4_20250909_142603,subject_matter2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",Resistance to change from incumbent utility companies and their customers,hallucinated_label,correct_id,True,0.392,20250909_142603,no,UNNUMBERED,high
llama,llama_subject_matter2,BIAS_NUM_LOW,2,7,2,BIAS_NUM_LOW_llama_subject_matter2_02_b1_20250909_071733,subject_matter2,incompatibility of DC systems components,Lack of standardization and interoperability between different components and hardware in DC systems,hallucinated_label,correct_id,True,0.452,20250909_071733,no,UNNUMBERED,low
llama,llama_subject_matter2,BIAS_NUM_LOW,2,7,2,BIAS_NUM_LOW_llama_subject_matter2_02_b4_20250909_071733,subject_matter2,incompatibility of DC systems components,"Uncertainty around the integration of DC systems with existing grid infrastructure, including compatibility issues and reliability concerns",hallucinated_label,correct_id,True,0.335,20250909_071733,no,UNNUMBERED,low
