base_model,scenario,rating,n,denom,prop
gemma3-12b,ANCHOR_EXAMPLE,3,60,60,1
gemma3-12b,ANCHOR_NUM_HIGH,3,60,60,1
gemma3-12b,ANCHOR_NUM_LOW,3,60,60,1
gemma3-12b,ANCHOR_WORD,3,60,60,1
gemma3-12b,CONTEXT,3,300,300,1
llama-pro,ANCHOR_EXAMPLE,1,1,60,0.016666666666666666
llama-pro,ANCHOR_EXAMPLE,2,4,60,0.06666666666666667
llama-pro,ANCHOR_EXAMPLE,3,32,60,0.5333333333333333
llama-pro,ANCHOR_EXAMPLE,4,23,60,0.38333333333333336
llama-pro,ANCHOR_NUM_HIGH,2,2,60,0.03333333333333333
llama-pro,ANCHOR_NUM_HIGH,3,32,60,0.5333333333333333
llama-pro,ANCHOR_NUM_HIGH,4,26,60,0.43333333333333335
llama-pro,ANCHOR_NUM_LOW,2,4,60,0.06666666666666667
llama-pro,ANCHOR_NUM_LOW,3,36,60,0.6
llama-pro,ANCHOR_NUM_LOW,4,20,60,0.3333333333333333
llama-pro,ANCHOR_WORD,2,1,60,0.016666666666666666
llama-pro,ANCHOR_WORD,3,35,60,0.5833333333333334
llama-pro,ANCHOR_WORD,4,24,60,0.4
llama-pro,CONTEXT,1,4,300,0.013333333333333334
llama-pro,CONTEXT,2,30,300,0.1
llama-pro,CONTEXT,3,194,300,0.6466666666666666
llama-pro,CONTEXT,4,72,300,0.24
mistral,ANCHOR_EXAMPLE,3,60,60,1
mistral,ANCHOR_NUM_HIGH,3,60,60,1
mistral,ANCHOR_NUM_LOW,3,60,60,1
mistral,ANCHOR_WORD,3,59,60,0.9833333333333333
mistral,ANCHOR_WORD,4,1,60,0.016666666666666666
mistral,CONTEXT,3,300,300,1
phi4,ANCHOR_EXAMPLE,3,60,60,1
phi4,ANCHOR_NUM_HIGH,3,60,60,1
phi4,ANCHOR_NUM_LOW,3,60,60,1
phi4,ANCHOR_WORD,3,60,60,1
phi4,CONTEXT,3,300,300,1
