base_model,comparison,rating_value,n,proportion
gemma3,CONTEXT,3,150,1
gemma3,ANCHOR_EXAMPLE,3,30,1
gemma3,ANCHOR_WORD,3,30,1
gemma3,ANCHOR_NUM_HIGH,3,30,1
gemma3,ANCHOR_NUM_LOW,3,30,1
llama,CONTEXT,1,4,0.02666666666666667
llama,CONTEXT,2,10,0.06666666666666667
llama,CONTEXT,3,97,0.6466666666666666
llama,CONTEXT,4,39,0.26
llama,ANCHOR_EXAMPLE,2,4,0.13333333333333333
llama,ANCHOR_EXAMPLE,3,23,0.7666666666666667
llama,ANCHOR_EXAMPLE,4,3,0.1
llama,ANCHOR_WORD,3,20,0.6666666666666666
llama,ANCHOR_WORD,4,10,0.3333333333333333
llama,ANCHOR_NUM_HIGH,2,3,0.1
llama,ANCHOR_NUM_HIGH,3,16,0.5333333333333333
llama,ANCHOR_NUM_HIGH,4,11,0.36666666666666664
llama,ANCHOR_NUM_LOW,2,3,0.1
llama,ANCHOR_NUM_LOW,3,18,0.6
llama,ANCHOR_NUM_LOW,4,9,0.3
mistral,CONTEXT,3,150,1
mistral,ANCHOR_EXAMPLE,3,30,1
mistral,ANCHOR_WORD,3,29,0.9666666666666667
mistral,ANCHOR_WORD,4,1,0.03333333333333333
mistral,ANCHOR_NUM_HIGH,3,30,1
mistral,ANCHOR_NUM_LOW,3,30,1
phi4,CONTEXT,3,150,1
phi4,ANCHOR_EXAMPLE,3,30,1
phi4,ANCHOR_WORD,3,30,1
phi4,ANCHOR_NUM_HIGH,3,30,1
phi4,ANCHOR_NUM_LOW,3,30,1
